Percentage_of_Sellers,Percentage_of_Agents_Trading,Consumptive_Use_Sellers,Consumptive_Use_Buyers,Volume_Quantity_Filled_Sellers,Volume_Quantity_Filled_Buyers,Initial_AV_Sellers,Initial_AV_Buyers
0.05,531.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,533.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,535.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,538.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,540.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,543.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,545.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,547.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,550.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,552.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,555.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,557.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,559.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,562.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,564.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,567.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,569.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,571.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,574.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,576.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,579.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,581.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,583.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,586.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,588.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,591.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,593.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,595.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,598.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,600.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,603.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,605.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,607.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,610.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,612.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,615.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,617.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,619.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,622.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,624.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,627.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,629.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,631.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,634.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,636.5999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,639.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,641.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,643.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,646.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,648.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,651.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,653.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,655.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,658.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,660.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,663.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,665.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,667.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,670.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,672.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,675.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,677.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,679.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,682.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,684.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,687.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,689.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,691.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,694.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,696.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,699.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,701.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,703.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,706.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,708.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,711.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,713.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,716.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,718.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,721.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,723.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,726.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,729.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,731.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,734.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,736.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,739.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,742.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,744.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,747.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,749.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,752.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,755.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,757.5999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,760.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,762.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,765.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,768.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,770.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,773.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,775.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,778.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,781.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,783.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,786.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,788.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,791.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,794.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,796.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,799.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,801.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,804.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,807.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,809.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,812.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,814.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,817.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,819.9999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,822.6000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,825.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,827.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,830.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,833.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,835.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,838.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,840.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,843.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,846.0000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,848.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,851.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,854.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,857.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,859.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,862.5999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,865.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,868.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,871.0000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,873.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,876.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,879.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,882.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,885.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,887.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,890.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,893.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,896.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,899.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,901.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,904.5999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,907.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,910.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,913.0000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,915.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,918.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,921.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,924.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,927.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,929.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,932.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,935.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,938.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,941.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,943.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,946.5999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,949.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,952.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,955.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,958.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,961.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,964.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,967.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,970.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,973.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,976.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,979.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,982.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,985.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,988.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,991.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,994.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,997.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1000.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1003.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1006.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1009.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1012.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1015.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1018.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1021.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1024.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1027.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1030.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1033.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1036.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1039.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1042.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1045.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1048.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1051.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1054.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1057.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1060.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1063.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1066.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1069.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1072.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1075.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1078.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1081.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1084.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1087.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1090.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1093.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1096.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1099.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1103.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1106.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1109.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1112.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1115.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1119.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1122.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1125.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1128.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1131.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1135.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1138.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1141.3999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1144.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1147.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1151.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1154.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1157.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1160.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1163.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1167.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1170.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1173.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1176.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1179.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1183.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1186.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1189.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1192.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1195.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1199.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1202.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1205.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1208.6000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1211.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,1215.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
